"баварский";"bayerische |
bayerische
bayerische"
"баварский";"bayerisch |
bayerisch
bayerisch"
"обращать внимание";"beachten | akk
haben beachtet
beachtete"
"занимать";"beanspruchen | akk
haben beansprucht
beanspruchte"
"присматривать";"beaufsichtigen | akk
haben beaufsichtigt
beaufsichtigte"
"уполномоченный";"beauftragte |
beauftragte
beauftragte"
"покрывать";"bedecken | akk, mit Dat
haben bedeckt
bedeckte"
"значить";"bedeuten | akk
haben bedeutet
bedeutete"
"обуславливать";"bedingen | akk
haben bedingt
bedingte"
"покрывать шипами";"bedornen | akk, mit Dat
haben bedornt
bedornte"
"находиться под угрозой исчезновения";"bedrohen | akk
haben bedroht
bedrohte"
"нуждаться";"bedürfen | Gen
haben bedurft
bedurfte"
"влиять";"beeinflussen | akk
haben beeinflusst
beeinflusste"
"ухудшать";"beeinträchtigen | akk
haben beeinträchtigt
beeinträchtigte"
"уполномочивать";"befähigen | akk, zu Dat
haben befähigt
befähigte"
"поражать";"befallen | akk
haben befallen
befiel"
"укреплять";"befestigen | akk, an Dat
haben befestigt
befestigte"
"находиться";"befinden |
haben befunden
befand"
"ловить рыбу";"befischen |
haben befischt
befischte"
"транспортировать, продвигать";"befördern | (Dat)
haben befördert
beförderte"
"освобождать";"befreien | (von Dat, Akk)
haben befreit
befreite"
"ограниченный";"befristete |
haben befristet
befristete"
"бояться";"befürchten |
haben befürchtet
befürchtete"
"совершать";"begehen |
haben begangen
beging"
"начинать";"beginnen | (mit Dat)
haben begonnen
begann"
"сопровождать";"begleiten | (Akk)
haben begleitet
begleitete"
"обрабатывать, обращаться, лечить";"behandeln | (Akk)
haben behandelt
behandelte"
"мешать, препятствовать";"behindern | (Akk, bei Dat)
haben behindert
behinderte"
"например";"beispielsweise |"
"способствовать";"beitragen | (zu Dat)
haben beigetragen
beitrug"
"бороться";"bekämpfen | (Akk)
haben bekämpft
bekämpfte"
"получать";"bekommen | (Dat)
haben bekommen
bekam"
"нагружать, обременять";"belasten | (Akk, mit Dat)
haben belastet
belastete"
"примечательный";"bemerkenswert |"
"нуждаться";"benötigen | (Akk, zu Dat)
haben benötigt
benötigte"
"использовать";"benutzen | (Akk, zu Dat)
haben benutzt
benutzte"
"наблюдать";"beobachten | (Akk)
haben beobachtet
beobachtete"
"сажать, засаживать";"bepflanzen | (mit Dat)
haben bepflanzt
bepflanzte"
"уполномоченный";"berechtigt |"
"обогащать";"bereichern | (Akk, mit Dat, um Akk)
haben bereichert
bereicherte"
"учитывать";"berücksichtigen | (Akk, bei Dat)
haben berücksichtigt
berücksichtigte"
"ссылаться, обращаться";"berufen | (auf Akk)
haben berufen
berief"
"означать, гласить";"besagen |
haben besagt
besagte"
"повреждать";"beschädigen | (Akk)
haben beschädigt
beschädigte"
"доставать, добывать";"beschaffen | (Dat)
haben beschafft
beschaffte"
"ускорять";"beschleunigen | (Akk)
haben beschleunigt
beschleunigte"
"ограничивать";"beschränken | (Akk, auf Akk)
haben beschränkt
beschränkte"
"описывать";"beschreiben | (Akk, mit Dat, als Akk)
haben beschrieben
beschrieb"
"жаловаться";"beschweren | (Akk, über Akk)
haben beschwert
beschwerte"
"устранять";"beseitigen | (Akk)
haben beseitigt
beseitigte"
"занимать";"besetzen | (Akk, mit Dat)
haben besetzt
besetzte"
"осматривать";"besichtigen | (Akk)
haben besichtigt
besichtigte"
"заселять";"besiedeln | (Akk, mit Dat)
haben besiedelt
besiedelte"
"владеть, обладать";"besitzen | (Akk)
haben besessen
besaß"
"особый";"besondere |"
"наматывать";"bespulen | (Akk, mit Dat)
haben bespult
bespulte"
"состоять";"bestehen | (aus Dat, in Dat)
haben bestanden
bestand"
"заказывать";"bestellen | (Akk, bei Dat)
haben bestellt
bestellte"
"определять";"bestimmen | (Akk, zu Dat)
haben bestimmt
bestimmte"
"оглушать";"betäuben | (Akk)
haben betäubt
betäubte"
"касающийся";"betreffende |"
"заниматься, управлять";"betreiben | (Akk)
haben betrieben
betrieb"
"вступать, ступать";"betreten | (Akk)
haben betreten
betrat"
"касаться, затрагивать";"betreffen | (Akk)
haben betroffen
betraf"
"поражённый, затронутый";"betroffen |"
"оценивать, судить";"beurteilen | (Akk, nach Dat)
haben beurteilt
beurteilte"
"предпочитать";"bevorzugen | (Akk)
haben bevorzugt
bevorzugte"
"зарастать";"bewachsen | (mit Dat)
haben bewachsen
bewuchs"
"орошать, поливать";"bewässern | (Akk, mit Dat)
haben bewässert
bewässerte"
"двигать(ся)";"bewegen | (Akk, zu Dat)
haben bewegt
bewegte"
"подвижный";"beweglichen |"
"оценивать";"bewerten | (Akk, mit Dat, als Akk)
haben bewertet
bewertete"
"вызывать, осуществлять";"bewirken | (Akk)
haben bewirkt
bewirkte"
"обозначать, называть";"bezeichnen | (Akk, mit Dat, als Akk)
haben bezeichnet
bezeichnete"
"получать, приобретать";"beziehen | (Akk, von Dat, mit Dat, auf Akk)
haben bezogen
bezog"
"предлагать";"bieten | (Dat)
haben geboten
bot"
"образовывать";"bilden | (Akk, aus Dat, zu Dat)
haben gebildet
bildete"
"связывать";"binden | (Akk, an Akk, mit Dat)
haben gebunden
band"
"просить";"bitten | (Akk, um Akk)
haben gebeten
bat"
"горький";"bittere |"
"оставаться";"bleiben |
sein geblieben
blieb"
"блестеть, мигать";"blinken |
haben geblinkt
blinkte"
"нуждаться";"brauchen | (Akk, zu Dat)
haben gebraucht
brauchte"
"ломать(ся)";"brechen | (Akk, mit Dat)
haben gebrochen
brach"
"приносить";"bringen | (Dat)
haben gebracht
brachte"
"высиживать, размышлять";"brüten | (Akk, über Akk)
haben gebrütet
brütete"
"красочный";"buntgefärbte |"
"каротинсодержащий";"carotinhaltige |"
"охарактеризованный";"charakterisiert |"
"изображать";"darstellen | (Akk, als Akk)
haben dargestellt
darstellte"
"постоянный";"dauerhaft |"
"длиться";"dauern |
haben gedauert
dauerte"
"покрывать";"decken | (Akk, mit Dat)
haben gedeckt
deckte"
"растягивать(ся)";"dehnen | (Akk, auf Akk)
haben gedehnt
dehnte"
"тонкий, деликатный";"delikat |"
"тот же самый";"demselben |"
"следовательно";"demzufolge |"
"немецкий";"deutsche |"
"плотный";"dicht |"
"толстый";"dicke |"
"служить";"dienen | (Dat, als Dat, zu Dat)
haben gedient
diente"
"тот же самый";"dieselbe |"
"двойной";"doppelt |"
"тресковый";"dorschartigen |"
"жёсткий";"drähtige |"
"вращать, вертеть";"drehen | (Akk, um Akk)
haben gedreht
drehte"
"зависящий от давления";"druckabhängige |"
"нажимать, давить";"drücken | (Akk, auf Akk, gegen Akk)
haben gedrückt
drückte"
"терпеть";"dulden | (Akk)
haben geduldet
duldete"
"снабжённый кровью";"durchblutet |"
"проведённый";"durchgeführte |"
"дырявый";"durchlöcherten |"
"средний";"durchschnittliche |"
"рассекающий";"durchtrennenden |"
"разрезать";"durchtrennen | (Akk)
haben durchtrennt
durchtrennte"
"бывший";"ehemalige |"
"собственный";"eigene |"
"подходить";"eignen | (Akk, zu Dat, für Akk, als Akk)
haben geeignet
eignete"
"вносить";"einbringen | (Akk, in Akk)
haben eingebracht
einbrachte"
"проникать";"eindringen | (in Akk)
sein eingedrungen
drang ein"
"простой";"einfache |"
"смазывать";"einfetten | (Akk, mit Dat)
haben eingefettet
eingefettet"
"замораживать";"einfrieren | (Akk)
haben eingefroren
einfrierte"
"вставленный";"eingefasste |"
"огороженный";"eingefriedet |"
"вставленный";"eingefügt |"
"введённый";"eingeführt |"
"закопанный";"eingegraben |"
"введённый";"eingeleitet |"
"забитый";"eingeschlagen |"
"включённый";"eingeschlossen |"
"зазубренный";"eingeschnittene |"
"ограниченный";"eingeschränkt |"
"нанесённый";"eingeschwemmt |"
"использованный";"eingesetzt |"
"устанавливать";"einstellen |
haben eingestellt
stellte ein"
"погружаться";"einsinken |
sein eingesunken
sank ein"
"делить";"einteilen |
haben eingeteilt
teilte ein"
"вносить";"eintragen |
haben eingetragen
trug ein"
"ограждать";"einzäunen |
haben eingezäunt
zäunte ein"
"нагонять";"einholen |
haben eingeholt
holte ein"
"использовать";"einsetzen |
haben eingesetzt
setzte ein"
"отдельный";"einzeln |"
"вносить";"einbringen |
haben eingebracht
brachte ein"
"вмешиваться";"einschreiten |
sein eingeschritten
schritt ein"
"рекомендовать";"empfehlen | (Dat)
haben empfohlen
empfahl"
"рекомендованный";"empfehlenswert |"
"чувствовать";"empfinden | (als)
haben empfunden
empfand"
"заканчивать";"enden |
haben geendet
endete"
"удалять";"entfernen |
haben entfernt
entfernte"
"далёкий";"entfernt |"
"сбегать";"entfliehen | (Dat / vor + Dat)
sein entflohen
entfloh"
"навстречу";"entgegen | (Dat)"
"содержать";"enthalten |
haben enthalten
enthielt"
"выгружать";"entlanden |
haben entlanden
entlandete"
"изымать";"entnehmen | (Dat)
haben entnommen
entnahm"
"решать";"entscheiden |
haben entschieden
entschied"
"решает";"entscheidet |"
"соответствовать";"entsprechen | (Dat)
haben entsprochen
entsprach"
"возникший";"entstanden |"
"возникать";"entstehen |
sein entstanden
entstand"
"возникает";"entsteht"
"развивать";"entwickeln |
haben entwickelt
entwickelte"
"развитый";"entwickelt"
"обусловленный развитием";"entwicklungsbedingt"
"лишать";"entziehen | (Dat)
haben entzogen
entzog"
"лишённый";"entzogen"
"добывать";"erbeuten |
haben erbeutet
erbeutete"
"приносить";"erbringen |
haben erbracht
erbrachte"
"захватывать";"erfassen |
haben erfasst
erfasste"
"происходить";"erfolgen |
sein erfolgt
erfolgte"
"произошёл";"erfolgt"
"выполнять";"erfüllen |
haben erfüllt
erfüllte"
"выполненный";"erfüllt"
"хватать";"ergreifen |
haben ergriffen
ergriff"
"получать";"erhalten |
haben erhalten
erhielt"
"повышать";"erhöhen |
haben erhöht
erhöhte"
"повышенный";"erhöht"
"отдыхать";"erholen |
haben erholt
erholte"
"отдохнувший";"erholt"
"распознавать";"erkennen |
haben erkannt
erkannte"
"распознанный";"erkannt"
"объяснять";"erklären |
haben erklärt
erklärte"
"заболевать";"erkranken |
sein erkrankt
erkrankte"
"заболевший";"erkrankt"
"разрешённый";"erlaubt"
"облегчать";"erleichtern |
haben erleichtert
erleichterte"
"облегчённый";"erleichtert"
"освещать";"erleuchten |
haben erleuchtet
erleuchtete"
"гаснуть";"erlöschen |
sein erloschen
erlosch"
"позволять";"ermöglichen |
haben ermöglicht
ermöglichte"
"позволено";"ermöglicht"
"кормить";"ernähren |
haben ernährt
ernährte"
"кормленный";"ernährt"
"обновлять";"erneuern |
haben erneuert
erneuert"
"достигать";"erreichen |
haben erreicht
erreichte"
"достигнутый";"erreicht"
"воздвигать";"errichten |
haben errichtet
errichtete"
"появляться";"erscheinen |
sein erschienen
erschien"
"затруднять";"erschweren |
haben erschwert
erschwerte"
"экономить";"ersparen |
haben erspart
ersparte"
"простираться";"erstrecken |
haben erstreckt
erstreckte"
"выдавать";"erteilen |
haben erteilt
erteilte"
"взрослый";"erwachsen"
"нагревать";"erwärmen |
haben erwärmt
erwärmte"
"ожидать";"erwarten |
haben erwartet
erwartete"
"приобретать";"erwerben |
haben erworben
erwarb"
"приобретённый";"erworben"
"достигать";"erzielen |
haben erzielt
erzielte"
"есть";"essen |
haben gegessen
aß"
"устанавливать";"etablieren |
haben etabliert
etablierte"
"точный";"exakt"
"падать";"fallen |
sein gefallen
fiel"
"падает";"fällt"
"ловить";"fangen |
haben gefangen
fing"
"ловит";"fängt"
"хватать";"fassen |
haben gefasst
fasste"
"гнить";"faulen |
sein verfault
faulte"
"отсутствовать";"fehlen |
haben gefehlt
fehlte"
"держать на расстоянии";"fernhalten |
haben ferngehalten
hielt fern"
"держать на расстоянии";"fernzuhalten |
haben ferngehalten
hielt fern"
"крепкий";"fest"
"устанавливать";"festlegen |
haben festgelegt
legte fest"
"установленный";"festgelegt"
"устанавливать";"festsetzen |
haben festgesetzt
setzte fest"
"установленный";"festgestellt"
"устанавливать";"feststellen |
haben festgestellt
stellte fest"
"влажный";"feucht"
"разделывать";"filetieren |
haben filetiert
filetierte"
"находить";"finden |
haben gefunden
fand"
"находит";"findet"
"ловить рыбу";"fischen |
haben gefischt
fischte"
"рыболовный";"fischereiberechtigt"
"ловит рыбу";"fischt"
"рыболовный";"fischwaidgerecht"
"летать";"fliegen |
sein geflogen
flog"
"следовать";"folgen | (Dat)
sein gefolgt
folgte"
"поддерживать";"fördern |
haben gefördert
förderte"
"размножаться";"fortpflanzen |
haben fortgepflanzt
pflanzte fort"
"смывать";"fortschwemmen |
haben fortgeschwemmt
schwemmte fort"
"освобождать";"freischneiden |
haben freigeschnitten
schnitt frei"
"есть";"fressen |
haben gefressen
fraß"
"добавлять";"fügen |
haben gefügt
fügte"
"вести";"führen |
haben geführt
führte"
"кормить";"füttern |
haben gefüttert
fütterte"
"гарантировать";"garantieren |
haben garantiert
garantierte"
"старый";"gealtert"
"ловить рыбу";"angeln |
haben geangelt
angelte"
"строить";"bauen |
haben gebaut
baute"
"образовывать";"bilden |
haben gebildet
bildete"
"изогнутый";"gebogen"
"предлагать";"bieten |
haben geboten
bot"
"приносить";"bringen |
haben gebracht
brachte"
"использовать";"gebrauchen |
haben gebraucht
gebrauchte"
"использованный";"gebraucht"
"связывать";"binden |
haben gebunden
band"
"играть рыбой";"drillen |
haben gedrillt
drillte"
"удобрять";"düngen |
haben gedüngt
düngte"
"подходящий";"geeignet"
"ставить под угрозу";"gefährden |
haben gefährdet
gefährdete"
"находящийся под угрозой";"gefährdet"
"нравиться";"gefallen | (Dat)
haben gefallen
gefiel"
"окрашенный";"gefärbt"
"плетёный";"geflochten"
"замерзать";"gefrieren |
sein gefroren
fror"
"разветвлённый";"gegabelt"
"давать";"geben |
haben gegeben
gab"
"рыбачить";"haken |
haben gehakt
hakte"
"держать";"halten |
haben gehalten
hielt"
"сохранять рыбу живой";"hältern |
haben gehältert
hälterte"
"свежевать";"häuten |
haben gehäutet
häutete"
"ухаживать";"hegen |
haben gehegt
hegte"
"идти";"gehen |
sein gegangen
ging"
"поднимать";"heben |
haben gehoben
hob"
"доставать";"holen |
haben geholt
holte"
"принадлежать";"gehören | (Dat)
haben gehört
gehörte"
"характеризовать";"kennzeichnen | (akk)
haben gekennzeichnet
kennzeichnete"
"вязать";"knoten |
haben geknoten
knotote"
"варить";"kochen |
haben gekocht
kochte"
"гнуть";"gekrümmt |
haben gekrümmt
krümmte"
"охлаждать";"kühlen |
haben gekühlt
kühlte"
"хранить";"lagern |
haben gelagert
lagerte"
"приземляться";"landen |
sein gelandet
landete"
"достигать, попадать";"gelangen | (zu Dat)
sein gelangt
gelangte"
"класть";"legen |
haben gelegt
legte"
"решать";"lösen |
haben gelöst
löste"
"действовать";"gelten | (für Akk)
haben gegolten
galt"
"измерять";"gemessen |
haben gemessen
maß"
"избегать";"meiden |
haben gemieden
mied"
"называть";"nennen |
haben genannt
nannte"
"разрешать";"genehmigen |
haben genehmigt
genehmigte"
"брать";"nehmen |
haben genommen
nahm"
"хватать";"genügen |
haben genügt
genügte"
"использовать";"nutzen |
haben genutzt
nutzte"
"упорядочивать";"ordnen |
haben geordnet
ordnete"
"собирать";"pflücken |
haben gepflückt
pflückte"
"буферизовать";"puffern |
haben gepuffert
pufferte"
"получать очки";"punkten |
haben gepunktet
punktete"
"выпрямлять";"gerade |
haben gerade
geradete"
"попадать";"geraten | (in Akk)
sein geraten
geriet"
"убирать";"räumen |
haben geräumt
räumte"
"регулировать";"regeln |
haben geregelt
regelte"
"направлять";"gerichtet |
haben gerichtet
richtete"
"любить";"gerne |
haben gerne
gernete"
"корчевать";"roden |
haben gerodet
rodete"
"округлять";"runden |
haben gerundet
rundete"
"повреждать";"schädigen |
haben geschädigt
schädigte"
"происходить";"geschehen |
sein geschehen
geschah"
"убивать";"schlachten |
haben geschlachtet
schlachtete"
"закрывать";"schließen |
haben geschlossen
schloss"
"глотать";"schlucken | (akk, von Dat)
haben geschluckt
schluckte"
"проскальзывать";"schlüpfen |
sein geschlüpft
schlüpfte"
"щадить";"schonen |
haben geschont
schonte"
"защищать";"schützen | (vor Dat, Akk)
haben geschützt
schützte"
"ставить";"setzen |
haben gesetzt
setzte"
"раскалывать";"spalten |
haben gespalten
spaltete"
"натягивать";"spannen |
haben gespannt
spannte"
"питать";"speisen | (mit Dat, Akk)
haben gespeist
speiste"
"формировать";"gestalten |
haben gestaltet
gestaltete"
"разрешать";"gestatten |
haben gestattet
gestattete"
"накапливать";"stauen |
haben gestaut
staute"
"беспокоить";"stören |
haben gestört
störte"
"поддерживать";"stützen |
haben gestützt
stützte"
"маскировать";"tarnen |
haben getarnt
tarnte"
"совершать";"tätigen |
haben getätigt
tätigte"
"делить";"teilen | (akk, mit Dat, in Akk)
haben geteilt
teilte"
"убивать";"töten |
haben getötet
tötete"
"нести";"tragen |
haben getragen
trug"
"разделять";"trennen | (akk, von Dat)
haben getrennt
trennte"
"встречаться";"treffen |
haben getroffen
traf"
"мутить";"trüben |
haben getrübt
trübte"
"промакивать";"tupfen |
haben getupft
tupfte"
"поливать";"wässern |
haben gewässert
wässerte"
"выгибать";"wölben |
haben gewölbt
wölbte"
"бросать";"werfen |
haben geworfen
warf"
"рисовать";"zeichnen |
haben gezeichnet
zeichnete"
"направлять";"gezielt |
haben gezielt
zielte"
"тянуть";"ziehen |
haben gezogen
zog"
"стеклить";"gläsern |
haben gegläsern
gläsernte"
"гладить";"glatt |
haben glatt
glattete"
"сравнивать";"gleichen | (Dat)
haben geglichen
glich"
"хватать";"greifen |
haben gegriffen
griff"
"основывать";"gründen |
haben gegründet
gründete"
"иметь";"haben |
haben gehabt
hatte"
"прилипать";"haftet |
haben gehaftet
hafetete"
"действовать";"handeln |
haben gehandelt
handelte"
"вешать";"hängen |
haben gehängt
hängte"
"производить";"hergestellt |
haben hergestellt
herstellte"
"вызывать";"hervorgerufen |
haben hervorgerufen
hervorrief"
"помогать";"hilft |
haben geholfen
half"
"указывать";"hindeuten | (auf Akk)
haben hingedeutet
hindeutete"
"доставать";"holt |
haben geholt
holte"
"информировать";"informieren | (akk, über Akk)
haben informiert
informierte"
"охотиться";"jagen |
haben gejagt
jagte"
"знать";"kennen |
haben gekannt
kannte"
"прояснять";"klären |
haben geklärt
klärte"
"приклеивать";"klebt |
haben geklebt
klebte"
"приманивать";"ködern |
haben geködert
köderte"
"комбинировать";"kombiniert |
haben kombiniert
kombinierte"
"приходить";"kommen |
sein gekommen
kam"
"контролировать";"kontrollieren |
haben kontrolliert
kontrollierte"
"расторгать";"kündigen |
haben gekündigt
kündigte"
"метать икру";"laichen |
haben gelaicht
laichte"
"оставлять";"lassen |
haben gelassen
ließ"
"бегать";"laufen |
sein gelaufen
lief"
"жить";"leben |
haben gelebt
lebte"
"страдать";"leiden | (an Dat, unter Dat)
haben gelitten
litt"
"поставлять";"liefern |
haben geliefert
lieferte"
"лежать";"liegen |
haben gelegen
lag"
"делать";"machen |
haben gemacht
machte"
"умерить";"maßigen |
haben maßigt
maßigte"
"замечать";"merken |
haben gemerkt
merkte"
"минимизировать";"minimieren |
haben minimiert
minimierte"
"мешать";"mischen |
haben gemischt
mischte"
"быть";"sein |
ist gewesen
war"
"приносить";"mitbringen | ( Akkusativ)
haben mitgebracht
brachte mit"
"нести с собой";"mitführen | ( Akkusativ)
haben mitgeführt
führte mit"
"мочь";"mögen | ( Akkusativ)
haben gemocht
mochte"
"модернизировать";"modernisieren | ( Akkusativ)
haben modernisiert
modernisierte"
"возможно";"möglicherweise |
haben gemoglicht
moglichte"
"по возможности";"möglichst |
haben gemoglicht
moglichte"
"быть должным";"müssen | ( Akkusativ)
haben gemusst
musste"
"доказать";"nachgewiesen | ( Akkusativ)
haben nachgewiesen
wies nach"
"регулировать";"nachstellen | ( Akkusativ)
haben nachgestellt
stellte nach"
"ближайший";"nächstgelegen |
haben gelegen
lag"
"отрастать";"nachwachsen | ( Akkusativ)
haben nachgewachsen
wuchs nach"
"близко";"nahe |
haben genäht
nähte"
"неестественный";"naturfern |
haben entfernt
entfernte"
"брать";"nehmen | ( Akkusativ)
haben genommen
nahm"
"склоняться";"neigen | ( Akkusativ)
haben geneigt
neigte"
"значительный";"nennenswert |
haben genannt
nannte"
"нет";"nicht |
haben genichtet
nichtete"
"использовать";"nutzen | ( Akkusativ)
haben genutzt
nutzte"
"вверху";"oben |
haben oben
obte"
"открыто";"offen |
haben geöffnet
öffnete"
"открывать";"öffnen | ( Akkusativ)
haben geöffnet
öffnete"
"часто";"oft |
haben oft
ofte"
"без";"ohne | ( Akkusativ)
haben ohne
ohnte"
"спариваться";"paaren | ( Akkusativ)
haben gepaart
paarte"
"арендовать";"pachten | ( Akkusativ)
haben gepachtet
pachtete"
"паразитировать";"parasitieren | ( Akkusativ)
haben parasitiert
parasitierte"
"случаться";"passieren | ( Akkusativ)
haben passiert
passierte"
"ловить рыбу";"pilken | ( Akkusativ)
haben gepilkt
pilkte"
"точный";"präzise |
haben präzisiert
präzisierte"
"недорогой";"preiswert |
haben gewertet
wertete"
